Week Start,Average Load Factor,Average Load Factor at Evening Peak,Average Load Factor at Night Minimum
2024-08-05,44.199216753485778,40.729463328684254,44.169468075968162
2024-08-12,32.499437020819286,33.885025265592688,32.168006543284314
2024-08-19,43.166069556008594,44.629651684642575,35.885100790563854
2024-08-26,52.154480000199165,52.153831087157052,46.60985418285923
2024-09-02,35.560196445153018,43.430393987216355,28.770511565487411
2024-09-09,32.101951068671411,42.175256110571873,28.826449840837348
2024-09-16,49.533311526535321,59.623640809876669,44.856164352296602
2024-09-23,41.020690591483614,44.931714221808534,36.687873137967109
2024-09-30,40.431247239569196,40.268951891838277,43.779680379981897
2024-10-07,31.609954640753564,44.745134345229623,24.177091118387882
2024-10-14,48.685207078819964,63.446237632267255,42.094228605788281
2024-10-21,44.977694197731829,59.278848567868117,43.869156722199648
2024-10-28,37.219151887771531,46.736134424489343,33.998781641124424
2024-11-04,45.458282343603464,53.022683634610189,43.610110220810945
2024-11-11,33.911816054644653,48.438749455867473,34.78091741261408
2024-11-18,30.801941883949652,49.801265582731169,23.161637132391537
2024-11-25,38.123428032794415,54.880162204399618,29.914258409103827
2024-12-02,28.782428707401174,47.325220900166357,20.672981439530844
2024-12-09,38.511207435419564,56.023249241949223,31.448452754773321
2024-12-16,36.445230667232671,55.24629647534919,28.430927226710605
2024-12-23,40.215820040039283,57.014410745460523,34.710284965675555
2024-12-30,32.58436094324324,51.946382250137866,18.767602609180269
2025-01-06,32.996478821124349,57.966237018108146,29.157813576982978
2025-01-13,37.609757252230011,55.471120205461112,32.352196179017419
2025-01-20,40.36018356717716,57.945583843299801,35.494537096247448
2025-01-27,38.702663583145302,56.962273617011206,30.865084598342019
2025-02-03,36.23970470842864,48.238110315424649,31.507138147206465
2025-02-10,38.338058139565426,55.394947877395573,34.959870097049588
2025-02-17,33.0506005549287,47.500550875819933,31.068441807802227
2025-02-24,37.252599179433624,54.075792213375472,32.349627500052911
2025-03-03,28.32340805879106,35.263941100481823,22.735008189479704
2025-03-10,31.723535517554208,45.150412959753069,30.03294465638005
2025-03-17,21.932620383138449,25.131058648459891,25.191611416553826
2025-03-24,30.017844157680084,44.515600678728802,25.588511738945858
2025-03-31,32.553894190621968,43.437788794833089,33.470899440160771
2025-04-07,25.004185342152311,28.636902911819611,22.765944379593485
