Date,Eskom OCGT Generation,Eskom Gas Generation,Dispatchable IPP OCGT,Manual Load Reduction(MLR),Palmiet Gen Unit Hours,Ingula Gen Unit Hours,Drakensberg Gen Unit Hours,Palmiet Max Hours,Ingula Max Hours,Drakensberg Max Hours,Palmiet Min Hours,Ingula Min Hours,Drakensberg Min Hours
2026-01-30 16:00:00,0,0,150.90700000000001,0,40.899999999999999,32.57,83.799999999999997,58.7,67,102,8,12,12
2026-01-30 17:00:00,0,0,149.29499999999999,0,40.899999999999999,32.75,83.799999999999997,58.7,67,102,8,12,12
2026-01-30 18:00:00,0,0,149.24199999999999,0,40.899999999999999,32.939999999999998,83.799999999999997,58.7,67,102,8,12,12
2026-01-30 19:00:00,0,0,148.84399999999999,0,40.899999999999999,33.130000000000003,83.799999999999997,58.7,67,102,8,12,12
2026-01-30 20:00:00,0,0,148.97800000000001,0,40.299999999999997,31.57,82.599999999999994,58.7,67,102,8,12,12
2026-01-30 21:00:00,0,0,80.789000000000001,0,38.5,30.120000000000001,81,58.7,67,102,8,12,12
2026-01-30 22:00:00,0,0,7.6999999999999999E-2,0,36.899999999999999,28.789999999999999,80.200000000000003,58.7,67,102,8,12,12
2026-01-30 23:00:00,0,0,9.7000000000000003E-2,0,36.100000000000001,27.899999999999999,79.799999999999997,58.7,67,102,8,12,12
2026-01-31 00:00:00,0,0,0.124,0,36.100000000000001,27.960000000000001,80.200000000000003,58.7,67,102,8,12,12
2026-01-31 01:00:00,0,0,5.8000000000000003E-2,0,37.700000000000003,28.73,80.599999999999994,58.7,67,102,8,12,12
2026-01-31 02:00:00,0,0,0.02,0,38.5,29.809999999999999,81.400000000000006,58.7,67,102,8,12,12
2026-01-31 03:00:00,0,0,8.5999999999999993E-2,0,40.299999999999997,31.82,83,58.7,67,102,8,12,12
2026-01-31 04:00:00,0,0,2.9000000000000001E-2,0,42,34.299999999999997,85,58.7,67,102,8,12,12
2026-01-31 05:00:00,0,0,142.77699999999999,0,43.700000000000003,35.770000000000003,86.599999999999994,58.7,67,102,8,12,12
2026-01-31 06:00:00,0,0,149.203,0,44.799999999999997,37.289999999999999,88.200000000000003,58.7,67,102,8,12,12
2026-01-31 07:00:00,0,0,150.077,0,46,38.369999999999997,90,58.7,67,102,8,12,12
2026-01-31 08:00:00,0,0,151.46600000000001,0,47.200000000000003,40.039999999999999,90.299999999999997,58.7,67,102,8,12,12
2026-01-31 09:00:00,0,0,151.41499999999999,0,47.600000000000001,40.859999999999999,90.299999999999997,58.7,67,102,8,12,12
2026-01-31 10:00:00,0,0,151.339,0,47.600000000000001,40.859999999999999,90.299999999999997,58.7,67,102,8,12,12
2026-01-31 11:00:00,0,0,151.578,0,48.799999999999997,41.450000000000003,90.299999999999997,58.7,67,102,8,12,12
2026-01-31 12:00:00,0,0,151.55099999999999,0,49.600000000000001,42.32,90.299999999999997,58.7,67,102,8,12,12
2026-01-31 13:00:00,0,0,151.53100000000001,0,51.200000000000003,43.539999999999999,90.799999999999997,58.7,67,102,8,12,12
2026-01-31 14:00:00,0,0,151.52099999999999,0,52,45.130000000000003,91.200000000000003,58.7,67,102,8,12,12
2026-01-31 15:00:00,0,0,151.53899999999999,0,52.799999999999997,46.310000000000002,91.799999999999997,58.7,67,102,8,12,12
2026-01-31 16:00:00,0,0,151.267,0,53.200000000000003,47.539999999999999,92.700000000000003,58.7,67,102,8,12,12
2026-01-31 17:00:00,0,0,151.124,0,53.200000000000003,47.869999999999997,92.700000000000003,58.7,67,102,8,12,12
2026-01-31 18:00:00,0,0,149.655,0,52.799999999999997,47.539999999999999,92.099999999999994,58.7,67,102,8,12,12
2026-01-31 19:00:00,0,0,148.732,0,50.799999999999997,45.920000000000002,90.799999999999997,58.7,67,102,8,12,12
2026-01-31 20:00:00,0,0,148.977,0,49.600000000000001,44.390000000000001,90,58.7,67,102,8,12,12
2026-01-31 21:00:00,0,0,80.745999999999995,0,48,42.670000000000002,88.200000000000003,58.7,67,102,8,12,12
2026-01-31 22:00:00,0,0,0.13,0,47.200000000000003,40.630000000000003,86.200000000000003,58.7,67,102,8,12,12
2026-01-31 23:00:00,0,0,0.14899999999999999,0,46,38.850000000000001,85,58.7,67,102,8,12,12
2026-02-01 00:00:00,0,0,0.062,0,46,39.030000000000001,85,58.7,67,102,8,12,12
2026-02-01 01:00:00,0,0,4.9000000000000002E-2,0,47.200000000000003,40.630000000000003,86.200000000000003,58.7,67,102,8,12,12
2026-02-01 02:00:00,0,0,2.8000000000000001E-2,0,48.799999999999997,42.5,87.799999999999997,58.7,67,102,8,12,12
