WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
2026-01-05 12:00:00 AM,25132,2025-26-RSA Contracted Peak Demand
2026-01-12 12:00:00 AM,25978,2025-26-RSA Contracted Peak Demand
2026-01-12 12:00:00 AM,27621,2024-25-RSA Contracted Peak Demand
2026-01-12 12:00:00 AM,23688,2025-26-Residual Peak Demand
2026-01-12 12:00:00 AM,25730,2024-25-Residual Peak Demand
2026-01-12 12:00:00 AM,,2025-26-Residual Peak Forecast
2026-01-12 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-01-19 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-01-19 12:00:00 AM,25826,2024-25-Residual Peak Demand
2026-01-19 12:00:00 AM,,2025-26-Residual Peak Forecast
2026-01-19 12:00:00 AM,23924,2025-26-Residual Peak Demand
2026-01-19 12:00:00 AM,28185,2024-25-RSA Contracted Peak Demand
2026-01-19 12:00:00 AM,26292,2025-26-RSA Contracted Peak Demand
2026-01-26 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-01-26 12:00:00 AM,28739,2024-25-RSA Contracted Peak Demand
2026-01-26 12:00:00 AM,,2025-26-Residual Peak Demand
2026-01-26 12:00:00 AM,24233,2025-26-Residual Peak Forecast
2026-01-26 12:00:00 AM,26393,2024-25-Residual Peak Demand
2026-01-26 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-02-02 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-02-02 12:00:00 AM,23668,2025-26-Residual Peak Forecast
2026-02-02 12:00:00 AM,26047,2024-25-Residual Peak Demand
2026-02-02 12:00:00 AM,,2025-26-Residual Peak Demand
2026-02-02 12:00:00 AM,27821,2024-25-RSA Contracted Peak Demand
2026-02-02 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-02-09 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-02-09 12:00:00 AM,27824,2024-25-RSA Contracted Peak Demand
2026-02-09 12:00:00 AM,,2025-26-Residual Peak Demand
2026-02-09 12:00:00 AM,23361,2025-26-Residual Peak Forecast
2026-02-09 12:00:00 AM,25671,2024-25-Residual Peak Demand
2026-02-09 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-02-16 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-02-16 12:00:00 AM,26757,2024-25-Residual Peak Demand
2026-02-16 12:00:00 AM,23587,2025-26-Residual Peak Forecast
2026-02-16 12:00:00 AM,,2025-26-Residual Peak Demand
2026-02-16 12:00:00 AM,28987,2024-25-RSA Contracted Peak Demand
2026-02-16 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-02-23 12:00:00 AM,28915,2024-25-RSA Contracted Peak Demand
2026-02-23 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-02-23 12:00:00 AM,,2025-26-Residual Peak Demand
