WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
25-Aug-2025,,2025-26-Residual Energy Forecast
21-Jul-2025,,2025-26-Residual Energy Forecast
28-Jul-2025,,2025-26-Residual Energy Forecast
04-Aug-2025,,2025-26-Residual Energy Forecast
11-Aug-2025,,2025-26-Residual Energy Forecast
01-Sep-2025,,2025-26-Residual Energy Forecast
08-Sep-2025,,2025-26-Residual Energy Forecast
15-Sep-2025,,2025-26-Residual Energy Forecast
22-Sep-2025,,2025-26-Residual Energy Forecast
29-Sep-2025,,2025-26-Residual Energy Forecast
06-Oct-2025,,2025-26-Residual Energy Forecast
13-Oct-2025,,2025-26-Residual Energy Forecast
20-Oct-2025,,2025-26-Residual Energy Forecast
27-Oct-2025,,2025-26-Residual Energy Forecast
03-Nov-2025,,2025-26-Residual Energy Forecast
10-Nov-2025,,2025-26-Residual Energy Forecast
17-Nov-2025,,2025-26-Residual Energy Forecast
24-Nov-2025,,2025-26-Residual Energy Forecast
01-Dec-2025,,2025-26-Residual Energy Forecast
08-Dec-2025,,2025-26-Residual Energy Forecast
15-Dec-2025,,2025-26-Residual Energy Forecast
19-Jan-2026,,2025-26-Residual Energy Forecast
05-Jan-2026,,2025-26-Residual Energy Forecast
12-Jan-2026,,2025-26-Residual Energy Forecast
22-Dec-2025,,2025-26-Residual Energy Forecast
29-Dec-2025,,2025-26-Residual Energy Forecast
02-Feb-2026,3340.5540000000001,2025-26-Residual Energy Forecast
26-Jan-2026,3346.8820000000001,2025-26-Residual Energy Forecast
09-Feb-2026,3372.1030000000001,2025-26-Residual Energy Forecast
16-Feb-2026,3398.951,2025-26-Residual Energy Forecast
16-Mar-2026,3405.6930000000002,2025-26-Residual Energy Forecast
23-Feb-2026,3405.8499999999999,2025-26-Residual Energy Forecast
23-Mar-2026,3413.1790000000001,2025-26-Residual Energy Forecast
02-Mar-2026,3414.4929999999999,2025-26-Residual Energy Forecast
09-Mar-2026,3432.4470000000001,2025-26-Residual Energy Forecast
02-Mar-2026,,2025-26-RSA Contracted Energy Demand
23-Feb-2026,,2025-26-RSA Contracted Energy Demand
16-Feb-2026,,2025-26-RSA Contracted Energy Demand
16-Mar-2026,,2025-26-RSA Contracted Energy Demand
09-Mar-2026,,2025-26-RSA Contracted Energy Demand
23-Mar-2026,,2025-26-RSA Contracted Energy Demand
09-Feb-2026,,2025-26-RSA Contracted Energy Demand
02-Feb-2026,,2025-26-RSA Contracted Energy Demand
26-Jan-2026,,2025-26-RSA Contracted Energy Demand
29-Dec-2025,3287.9180000000001,2025-26-RSA Contracted Energy Demand
22-Dec-2025,3357.0740000000001,2025-26-RSA Contracted Energy Demand
05-Jan-2026,3596.1700000000001,2025-26-RSA Contracted Energy Demand
15-Dec-2025,3626.989,2025-26-RSA Contracted Energy Demand
19-Jan-2026,3740.7829999999999,2025-26-RSA Contracted Energy Demand
12-Jan-2026,3745.5279999999998,2025-26-RSA Contracted Energy Demand
01-Dec-2025,3748.1370000000002,2025-26-RSA Contracted Energy Demand
08-Dec-2025,3774.6080000000002,2025-26-RSA Contracted Energy Demand
29-Sep-2025,3814.3159999999998,2025-26-RSA Contracted Energy Demand
06-Oct-2025,3824.7040000000002,2025-26-RSA Contracted Energy Demand
20-Oct-2025,3845.2910000000002,2025-26-RSA Contracted Energy Demand
24-Nov-2025,3845.739,2025-26-RSA Contracted Energy Demand
27-Oct-2025,3846.0189999999998,2025-26-RSA Contracted Energy Demand
03-Nov-2025,3849.0360000000001,2025-26-RSA Contracted Energy Demand
17-Nov-2025,3857.3899999999999,2025-26-RSA Contracted Energy Demand
10-Nov-2025,3867.6210000000001,2025-26-RSA Contracted Energy Demand
13-Oct-2025,3874.136,2025-26-RSA Contracted Energy Demand
15-Sep-2025,3880.8739999999998,2025-26-RSA Contracted Energy Demand
22-Sep-2025,3882.27,2025-26-RSA Contracted Energy Demand
01-Sep-2025,3882.4690000000001,2025-26-RSA Contracted Energy Demand
08-Sep-2025,3882.9029999999998,2025-26-RSA Contracted Energy Demand
25-Aug-2025,3935.1170000000002,2025-26-RSA Contracted Energy Demand
28-Apr-2025,3948.884,2025-26-RSA Contracted Energy Demand
